步骤0	当前分析栈:voidmain(){A}#	余留符号串：voidmain(){inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤1	当前分析栈:main(){A}#	余留符号串：main(){inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤2	当前分析栈:(){A}#	余留符号串：(){inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤3	当前分析栈:){A}#	余留符号串：){inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤4	当前分析栈:{A}#	余留符号串：{inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤5	当前分析栈:A}#	余留符号串：inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤6	当前分析栈:CA}#	余留符号串：inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤7	当前分析栈:XBRA}#	余留符号串：inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤8	当前分析栈:YZ;BRA}#	余留符号串：inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤9	当前分析栈:intZ;BRA}#	余留符号串：inta,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
步骤10	当前分析栈:Z;BRA}#	余留符号串：a,b,c;a=1;b=2;if(a>b){c=1;}else{c=0;}while(b>a){a=a+1;}for(inti=0;i<10;i++){printf(i);}scanf(c);}#	语义栈:#
